                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.72898,                 1.1212,                 1.2802,                0.69627,                0.84998,                0.85514,                0.73463,                0.51472,                0.73622,                 1.0701,              0.0060081,              0.0060081,              0.0060081
                    127,                0.75325,                 1.0905,                 1.2921,                0.78283,                0.82448,                0.87933,                0.75569,                0.50654,                 0.6746,                 1.0655,              0.0059761,              0.0059761,              0.0059761
                    128,                0.74768,                 1.1258,                 1.3018,                0.76635,                0.81292,                0.85596,                0.74339,                0.47651,                0.70192,                 1.0375,              0.0059442,              0.0059442,              0.0059442
                    129,                0.74301,                 1.1172,                 1.2954,                0.81729,                0.78172,                0.87639,                0.75985,                0.46908,                0.65492,                 1.0202,              0.0059123,              0.0059123,              0.0059123
                    130,                0.72629,                 1.1435,                 1.2796,                0.79213,                0.79544,                0.86764,                0.73739,                0.50874,                0.69275,                 1.0592,              0.0058803,              0.0058803,              0.0058803
                    131,                0.74234,                 1.0971,                 1.2973,                0.68798,                0.78329,                0.80398,                   0.69,                0.51062,                0.84177,                 1.0588,              0.0058484,              0.0058484,              0.0058484
                    132,                0.71737,                 1.0399,                  1.266,                0.72765,                 0.8169,                 0.8429,                0.73194,                0.48733,                0.74323,                 1.0426,              0.0058165,              0.0058165,              0.0058165
                    133,                 0.7572,                 1.1047,                 1.3143,                 0.7632,                 0.8271,                0.87459,                0.76264,                0.48515,                0.67263,                 1.0408,              0.0057845,              0.0057845,              0.0057845
                    134,                 0.6995,                  1.065,                 1.2661,                0.74956,                0.79836,                0.86011,                0.75423,                0.46506,                0.65593,                 1.0188,              0.0057526,              0.0057526,              0.0057526
                    135,                0.70576,                 1.0713,                 1.2689,                0.77887,                0.80375,                 0.8784,                0.75402,                0.48221,                0.62111,                 1.0375,              0.0057206,              0.0057206,              0.0057206
                    136,                0.73547,                 1.1216,                 1.2935,                0.79985,                0.80771,                0.88282,                0.76316,                0.48664,                0.65433,                 1.0429,              0.0056887,              0.0056887,              0.0056887
                    137,                0.70739,                 1.0374,                 1.2567,                0.81845,                 0.7917,                0.90646,                0.78805,                0.47756,                0.62383,                 1.0264,              0.0056568,              0.0056568,              0.0056568
                    138,                0.71336,                 1.0313,                   1.27,                0.80957,                0.81257,                0.89397,                0.77174,                0.48793,                0.62722,                 1.0361,              0.0056248,              0.0056248,              0.0056248
                    139,                0.72567,                 1.0121,                 1.2837,                 0.8272,                0.80734,                0.89877,                0.79114,                0.45869,                0.59877,                 1.0232,              0.0055929,              0.0055929,              0.0055929
                    140,                0.71165,                 1.0384,                 1.2872,                0.79074,                0.90203,                0.92281,                0.80985,                0.46459,                0.59763,                 1.0281,               0.005561,               0.005561,               0.005561
                    141,                0.70473,                 1.0723,                 1.2817,                0.78596,                0.89002,                 0.9023,                 0.7877,                0.46396,                0.61676,                 1.0258,               0.005529,               0.005529,               0.005529
                    142,                0.71262,                 1.0919,                 1.2931,                0.80271,                0.85326,                0.90603,                0.79393,                 0.4535,                0.59677,                 1.0185,              0.0054971,              0.0054971,              0.0054971
